raw,standard,notes
Duloxetine Hcl Usp,Duloxetine API,API variant
Duloxetine Hydrochloride,Duloxetine API,API variant
Duloxetine Hydrochloride Ph.Eur,Duloxetine API,API variant
Duloxetine Hydrochloride Ph Eur,Duloxetine API,API variant
Duloxetine API,Duloxetine API,API variant
Active Pharmaceutical Ingredient Duloxetine,Duloxetine API,API variant
Duloxetine Ec Pellets 17% W/W,Duloxetine Pellets 17%,17 percent pellet variant
Duloxetine Hcl Ec Pellets 17% W/W,Duloxetine Pellets 17%,17 percent pellet variant
Duloxetine Delayed Release Pellets 17.65% W/W,Duloxetine Pellets 17%,17 percent pellet variant
Duloxetine Hcl Pellets 17 Percent,Duloxetine Pellets 17%,17 percent pellet variant
Pharmaceutical Product:Duloxetine Pellet,Duloxetine Pellets,Pellet variant
Duloxetine Hcl 22.4% Dr Pellets,Duloxetine Pellets 22.5%,22.5 percent DR pellet variant
Duloxetine Hcl 22.4% Dr Pallets,Duloxetine Pellets 22.5%,22.5 percent DR pellet typo variant
Duloxetine Hcl Dr Pallets,Duloxetine Pellets,DR pellet typo variant
Duloxetine Hcl Placebo Pellets,Duloxetine Placebo Pellets,Placebo pellet variant
